aluguel,zona,area,quarto
12334.0,sul,337,3.0
8500.0,sul,311,4.0
8500.0,sul,280,4.0
29000.0,sul,600,4.0
28000.0,sul,287,4.0
10500.0,sul,332,5.0
12000.0,sul,296,4.0
13000.0,sul,329,4.0
30000.0,sul,609,4.0
8700.0,sul,78,2.0
5000.0,sul,210,3.0
6000.0,sul,88,2.0
8750.0,sul,460,5.0
20000.0,sul,290,3.0
17000.0,sul,187,3.0
22000.0,sul,226,4.0
11000.0,sul,111,2.0
19450.0,sul,370,4.0
11000.0,sul,309,5.0
16000.0,sul,337,3.0
4500.0,sul,70,1.0
15000.0,sul,245,3.0
2772.0,sul,62,2.0
7500.0,sul,146,3.0
3300.0,sul,49,2.0
3200.0,sul,81,3.0
4800.0,sul,60,2.0
11000.0,sul,147,3.0
3000.0,sul,47,1.0
3500.0,sul,69,2.0
15000.0,sul,280,4.0
3300.0,sul,49,2.0
3800.0,sul,85,2.0
12000.0,sul,"25,855",855.0
2300.0,sul,61,2.0
1800.0,sul,57,2.0
4850.0,sul,55,2.0
3500.0,sul,65,2.0
5000.0,sul,100,2.0
15000.0,sul,310,4.0
3450.0,sul,30,1.0
14500.0,sul,185,4.0
20000.0,sul,225,4.0
2770.0,sul,62,2.0
3000.0,sul,41,1.0
6500.0,sul,132,3.0
7700.0,sul,115,3.0
2900.0,sul,70,1.0
3500.0,sul,65,2.0
10500.0,sul,126,2.0
3900.0,sul,74,2.0
3500.0,sul,345,3.0
3500.0,sul,35,1.0
2600.0,sul,70,1.0
7500.0,sul,138,3.0
6800.0,sul,110,4.0
7500.0,sul,205,4.0
15000.0,sul,190,3.0
3000.0,sul,70,2.0
8500.0,sul,220,3.0
2160.0,sul,36,1.0
6500.0,sul,190,3.0
5500.0,sul,160,3.0
3200.0,sul,72,2.0
3000.0,sul,95,3.0
3800.0,sul,50,1.0
4000.0,sul,86,2.0
15000.0,sul,240,4.0
3600.0,sul,70,2.0
2700.0,sul,70,2.0
2200.0,sul,63,2.0
3100.0,sul,72,3.0
5250.0,sul,130,2.0
4900.0,sul,90,3.0
19000.0,sul,190,4.0
2100.0,sul,64,3.0
4000.0,sul,60,1.0
5500.0,sul,170,3.0
13000.0,sul,220,3.0
8500.0,sul,56,1.0
6000.0,sul,170,4.0
2500.0,sul,128,3.0
9000.0,sul,208,4.0
8500.0,sul,204,3.0
10000.0,sul,210,4.0
659980.0,sul,65,2.0
8200.0,sul,280,4.0
4500.0,sul,72,1.0
7000.0,sul,163,4.0
900.0,norte,39,1.0
1500.0,norte,60,2.0
1142.0,norte,50,2.0
900.0,norte,30,1.0
999.0,norte,50,2.0
1100.0,norte,26,1.0
800.0,norte,26,1.0
1600.0,norte,70,2.0
1350.0,norte,55,2.0
850.0,norte,45,1.0
1600.0,norte,55,2.0
1030.0,norte,45,1.0
1550.0,norte,50,2.0
1500.0,norte,45,1.0
3500.0,norte,124,3.0
850.0,norte,45,1.0
850.0,norte,45,1.0
850.0,norte,45,1.0
850.0,norte,45,1.0
2000.0,norte,105,3.0
950.0,norte,56,2.0
1450.0,norte,50,2.0
1670.0,norte,40,1.0
2700.0,norte,97,3.0
2350.0,norte,49,1.0
2500.0,norte,70,2.0
1670.0,norte,35,1.0
6000.0,norte,64,2.0
1900.0,norte,45,2.0
1600.0,norte,33,1.0
1670.0,norte,33,1.0
2000.0,norte,45,2.0
1800.0,norte,50,2.0
1500.0,norte,33,1.0
1800.0,norte,74,2.0
4200.0,norte,60,2.0
1150.0,norte,40,1.0
1000.0,norte,54,2.0
2500.0,norte,46,1.0
1200.0,norte,70,2.0
3500.0,norte,67,2.0
2600.0,norte,60,2.0
2350.0,norte,80,2.0
3800.0,norte,61,1.0
1650.0,norte,60,3.0
1500.0,norte,65,2.0
990.0,norte,45,1.0
1300.0,norte,62,2.0
1400.0,norte,43,2.0
900.0,norte,25,1.0
2300.0,norte,55,2.0
1400.0,norte,45,1.0
1100.0,norte,54,2.0
2000.0,norte,67,3.0
2500.0,norte,93,3.0
1800.0,norte,70,2.0
1200.0,norte,52,2.0
13000.0,norte,248,3.0
1400.0,norte,58,2.0
2700.0,norte,86,3.0
2200.0,norte,58,2.0
1200.0,norte,51,2.0
1800.0,norte,65,2.0
2300.0,norte,60,2.0
1610.0,norte,64,3.0
1700.0,norte,54,2.0
1300.0,norte,30,1.0
1700.0,norte,58,2.0
3200.0,norte,54,1.0
130000.0,norte,46,2.0
1450.0,norte,50,2.0
2100.0,norte,55,2.0
1890.0,norte,60,2.0
1500.0,norte,42,1.0
1300.0,norte,45,1.0
1500.0,norte,55,2.0
1000.0,norte,60,2.0
1000.0,norte,18,1.0
1700.0,norte,48,2.0
1300.0,norte,44,1.0
1500.0,norte,74,2.0
1300.0,norte,45,2.0
1100.0,norte,30,1.0
1500.0,norte,55,2.0
2000.0,norte,70,3.0
2000.0,norte,90,3.0
1350.0,norte,40,1.0
2800.0,norte,126,2.0
2200.0,norte,93,3.0
1100.0,norte,40,1.0
1100.0,norte,40,1.0
1100.0,norte,40,1.0
1100.0,norte,45,1.0
1100.0,norte,45,1.0
1100.0,norte,45,1.0
1100.0,norte,40,1.0
1300.0,norte,62,2.0
1300.0,norte,62,2.0
700.0,norte,40,1.0
1350.0,norte,50,2.0
1550.0,norte,60,3.0
2000.0,norte,110,3.0
2000.0,norte,110,3.0
1500.0,norte,78,2.0
2800.0,norte,65,2.0
1600.0,norte,60,2.0
4800.0,norte,67,2.0
3500.0,norte,67,2.0
4600.0,norte,67,2.0
3500.0,norte,67,2.0
4800.0,norte,67,2.0
3800.0,norte,73,1.0
4600.0,norte,67,2.0
4800.0,norte,67,2.0
3800.0,norte,73,1.0
19000.0,norte,650,
41500.0,norte,"1,500",
3600.0,norte,78,2.0
3000.0,norte,44,1.0
3900.0,norte,74,
1300.0,norte,62,2.0
1300.0,norte,62,2.0
1550.0,norte,42,1.0
1950.0,norte,60,2.0
2000.0,norte,65,2.0
2500.0,norte,100,3.0
2422.0,norte,62,3.0
1450.0,norte,45,2.0
1300.0,norte,62,2.0
1300.0,norte,62,2.0
1300.0,norte,62,2.0
1300.0,norte,62,2.0
1300.0,norte,62,2.0
1550.0,norte,42,1.0
1450.0,norte,56,2.0
1500.0,norte,78,3.0
2400.0,norte,72,2.0
750.0,norte,33,1.0
1200.0,norte,42,2.0
1500.0,norte,78,3.0
1200.0,norte,50,2.0
1300.0,norte,62,2.0
1300.0,norte,62,2.0
1300.0,norte,62,2.0
1300.0,norte,62,2.0
1200.0,norte,42,2.0
1200.0,norte,50,2.0
1664.0,norte,60,2.0
4000.0,norte,250,
1200.0,norte,70,2.0
850.0,norte,35,1.0
1300.0,norte,80,2.0
1000.0,norte,48,2.0
1500.0,norte,78,3.0
680.0,norte,22,1.0
1400.0,norte,45,2.0
2300.0,norte,39,1.0
2200.0,norte,49,2.0
2000.0,norte,40,2.0
4000.0,norte,121,3.0
1800.0,norte,110,3.0
3000.0,norte,100,3.0
10500.0,norte,260,3.0
2100.0,norte,84,3.0
2000.0,norte,78,3.0
1300.0,norte,44,2.0
7500.0,norte,200,1.0
1800.0,norte,94,3.0
1400.0,norte,55,2.0
2750.0,norte,160,3.0
1800.0,norte,45,2.0
1500.0,norte,57,2.0
1100.0,norte,58,2.0
1300.0,norte,50,2.0
1550.0,norte,76,3.0
1850.0,norte,92,3.0
1400.0,norte,30,1.0
1800.0,norte,45,2.0
1800.0,norte,45,2.0
1800.0,norte,45,2.0
1700.0,norte,65,2.0
1300.0,norte,52,2.0
2400.0,norte,75,3.0
1300.0,norte,57,2.0
1500.0,norte,68,2.0
916.0,norte,40,1.0
1000.0,norte,62,2.0
832.0,norte,25,2.0
782.0,norte,25,2.0
832.0,norte,25,2.0
1200.0,norte,58,2.0
2200.0,norte,99,3.0
3000.0,norte,271,5.0
810.0,norte,28,1.0
970.0,norte,35,1.0
832.0,norte,25,2.0
1400.0,norte,70,2.0
782.0,norte,25,2.0
1100.0,norte,52,1.0
1416.0,norte,89,2.0
2500.0,norte,60,2.0
2500.0,norte,60,2.0
1550.0,norte,53,2.0
2200.0,norte,77,3.0
820.0,norte,30,1.0
1564.0,norte,55,1.0
1800.0,norte,84,3.0
2200.0,norte,212,4.0
7000.0,norte,175,3.0
2100.0,norte,140,3.0
1150.0,norte,60,2.0
850.0,norte,40,2.0
1100.0,norte,39,2.0
981.0,norte,45,2.0
832.0,norte,25,2.0
1800.0,norte,60,2.0
830.0,norte,26,1.0
782.0,norte,25,2.0
1200.0,norte,55,1.0
1700.0,norte,100,2.0
832.0,norte,25,2.0
1700.0,norte,80,2.0
1300.0,norte,119,3.0
832.0,norte,25,2.0
832.0,norte,25,2.0
1185.0,norte,60,2.0
1050.0,norte,40,1.0
1406.0,norte,65,2.0
835.0,norte,30,1.0
1160.0,norte,43,2.0
2300.0,norte,110,2.0
1700.0,norte,54,2.0
1400.0,norte,45,1.0
1450.0,norte,48,2.0
892.0,norte,37,1.0
787.0,norte,25,1.0
1650.0,norte,58,2.0
2800.0,norte,90,3.0
3500.0,norte,130,4.0
1500.0,norte,65,2.0
950.0,norte,50,1.0
1270.0,norte,49,2.0
1270.0,norte,89,3.0
1310.0,norte,60,2.0
1240.0,norte,36,1.0
1500.0,norte,70,3.0
1300.0,norte,39,1.0
1200.0,norte,50,2.0
1500.0,norte,78,2.0
1920.0,norte,51,2.0
7000.0,norte,158,3.0
2700.0,norte,68,2.0
2200.0,norte,55,2.0
2800.0,norte,185,2.0
1500.0,norte,70,2.0
1310.0,norte,30,1.0
2000.0,norte,98,2.0
1390.0,norte,50,2.0
3000.0,norte,92,3.0
2380.0,norte,63,3.0
1500.0,norte,58,2.0
2000.0,norte,70,2.0
5000.0,norte,150,3.0
2940.0,norte,64,2.0
858.0,norte,30,1.0
1900.0,norte,86,2.0
1300.0,norte,40,2.0
1900.0,norte,45,1.0
2390.0,norte,55,2.0
1962.0,norte,70,2.0
1992.0,norte,120,3.0
3000.0,norte,130,3.0
2600.0,norte,120,2.0
2500.0,norte,68,2.0
2500.0,norte,72,2.0
1800.0,norte,50,2.0
1800.0,norte,65,2.0
1552.0,norte,58,1.0
6000.0,norte,168,3.0
1850.0,norte,100,2.0
2950.0,norte,180,3.0
840.0,norte,23,1.0
1750.0,norte,20,1.0
2200.0,norte,65,2.0
2000.0,norte,60,2.0
2280.0,norte,34,2.0
3500.0,norte,88,3.0
1400.0,norte,70,2.0
1700.0,leste,62,3.0
900.0,leste,40,2.0
890.0,leste,22,1.0
1500.0,leste,50,2.0
1700.0,leste,47,2.0
4500.0,leste,92,3.0
3500.0,leste,80,2.0
1200.0,leste,56,2.0
2100.0,leste,70,3.0
1800.0,leste,74,3.0
1500.0,leste,50,2.0
2500.0,leste,75,3.0
1300.0,leste,52,2.0
1000.0,leste,40,2.0
1100.0,leste,47,2.0
1550.0,leste,54,2.0
2000.0,leste,56,2.0
2300.0,leste,39,1.0
1300.0,leste,36,2.0
1000.0,leste,32,2.0
790.0,leste,30,1.0
1150.0,leste,50,2.0
1550.0,leste,58,3.0
2300.0,leste,72,2.0
1400.0,leste,67,2.0
900.0,leste,46,2.0
3000.0,leste,44,1.0
1400.0,leste,60,2.0
1700.0,leste,111,2.0
8000.0,leste,148,3.0
1900.0,leste,60,2.0
1750.0,leste,61,2.0
6000.0,leste,73,2.0
900.0,leste,56,2.0
1200.0,leste,50,2.0
2000.0,leste,61,2.0
1400.0,leste,50,2.0
1150.0,leste,57,2.0
1700.0,leste,52,2.0
1100.0,leste,70,2.0
1250.0,leste,44,2.0
1500.0,leste,52,2.0
1700.0,leste,69,3.0
6000.0,leste,140,3.0
1800.0,leste,65,3.0
1000.0,leste,42,2.0
2940.0,leste,97,3.0
1800.0,leste,48,2.0
1000.0,leste,50,2.0
1000.0,leste,30,1.0
1100.0,leste,50,2.0
1200.0,leste,38,2.0
1700.0,leste,49,2.0
1400.0,leste,40,1.0
1100.0,leste,50,2.0
1300.0,leste,60,2.0
2800.0,leste,88,3.0
1900.0,leste,69,3.0
2700.0,leste,85,3.0
1600.0,leste,53,2.0
2300.0,leste,86,3.0
3100.0,leste,87,3.0
1600.0,leste,50,2.0
3500.0,leste,117,3.0
1500.0,leste,45,2.0
2700.0,leste,55,2.0
1300.0,leste,45,2.0
1800.0,leste,45,2.0
2400.0,leste,67,2.0
2000.0,leste,80,2.0
1200.0,leste,54,2.0
1500.0,leste,53,2.0
750.0,leste,50,1.0
1300.0,leste,40,2.0
4500.0,leste,91,3.0
2750.0,leste,68,3.0
950.0,leste,55,2.0
1200.0,leste,52,2.0
1400.0,leste,50,2.0
1550.0,leste,43,2.0
1800.0,leste,47,2.0
2200.0,leste,62,2.0
1500.0,leste,82,3.0
9000.0,leste,186,3.0
1500.0,leste,38,1.0
1600.0,leste,60,2.0
1600.0,leste,45,1.0
1800.0,leste,58,2.0
2700.0,leste,73,3.0
3800.0,leste,78,2.0
1900.0,leste,62,3.0
1100.0,leste,44,2.0
2000.0,leste,38,2.0
4000.0,leste,60,2.0
2000.0,leste,38,2.0
4000.0,leste,62,2.0
1380.0,leste,44,2.0
1900.0,leste,68,3.0
4000.0,leste,62,2.0
3100.0,leste,72,2.0
2000.0,leste,56,2.0
3900.0,leste,105,3.0
1600.0,leste,64,2.0
6000.0,leste,138,3.0
1100.0,leste,55,2.0
1000.0,leste,56,3.0
1700.0,leste,56,2.0
1800.0,leste,70,3.0
1600.0,leste,56,2.0
1460.0,leste,60,2.0
2160.0,leste,64,2.0
3000.0,leste,68,3.0
1500.0,leste,120,2.0
1200.0,leste,58,2.0
1300.0,leste,42,2.0
2730.0,leste,65,3.0
2250.0,leste,62,1.0
1250.0,leste,57,2.0
4000.0,leste,115,3.0
1300.0,leste,49,2.0
4000.0,leste,115,3.0
900.0,leste,50,2.0
1225.0,leste,56,2.0
1450.0,leste,55,2.0
1000.0,leste,47,2.0
1500.0,leste,45,2.0
1800.0,leste,76,2.0
1650.0,leste,70,2.0
3900.0,leste,97,2.0
1000.0,leste,50,3.0
1400.0,leste,67,2.0
1600.0,leste,52,2.0
1900.0,leste,62,1.0
1500.0,leste,60,3.0
1400.0,leste,67,2.0
1750.0,leste,50,2.0
1750.0,leste,90,3.0
2100.0,leste,45,2.0
1600.0,leste,65,2.0
1100.0,leste,42,2.0
2000.0,leste,69,2.0
2800.0,leste,86,3.0
1100.0,leste,37,1.0
2530.0,leste,55,3.0
1380.0,leste,70,2.0
1400.0,leste,40,1.0
1800.0,leste,70,2.0
1400.0,leste,40,2.0
1700.0,leste,56,2.0
6000.0,leste,72,1.0
1100.0,leste,37,1.0
1000.0,leste,38,1.0
1300.0,leste,78,2.0
1000.0,leste,50,2.0
1380.0,leste,70,2.0
1800.0,leste,73,2.0
2530.0,leste,55,3.0
1230.0,leste,53,2.0
1200.0,leste,31,2.0
1800.0,leste,64,2.0
1800.0,leste,70,3.0
1600.0,leste,105,3.0
3200.0,leste,80,3.0
1400.0,leste,52,2.0
2100.0,leste,63,3.0
2200.0,leste,65,2.0
1350.0,leste,48,2.0
2000.0,leste,77,2.0
3300.0,leste,87,3.0
1500.0,leste,77,2.0
2300.0,leste,61,3.0
1300.0,leste,67,3.0
21000.0,leste,661,
35000.0,leste,680,
2200.0,leste,90,3.0
1500.0,leste,60,2.0
1800.0,leste,28,1.0
5500.0,leste,164,4.0
1600.0,leste,72,3.0
4000.0,leste,165,3.0
1300.0,leste,27,1.0
1600.0,leste,51,2.0
1700.0,leste,60,2.0
4200.0,leste,140,3.0
10000.0,leste,900,
1300.0,leste,27,1.0
1400.0,leste,57,2.0
1330.0,leste,30,1.0
2400.0,leste,67,2.0
2200.0,leste,52,2.0
705.0,leste,48,2.0
2700.0,leste,66,2.0
1700.0,leste,58,2.0
1400.0,leste,67,2.0
3100.0,leste,87,3.0
800.0,leste,51,2.0
7000.0,leste,220,3.0
3200.0,leste,95,3.0
2200.0,leste,40,1.0
30000.0,leste,838,5.0
1500.0,leste,67,2.0
1100.0,leste,50,2.0
1500.0,leste,67,2.0
1350.0,leste,48,2.0
1400.0,leste,65,2.0
2300.0,leste,45,2.0
1600.0,leste,49,2.0
5000.0,leste,105,3.0
2500.0,leste,70,3.0
3500.0,leste,94,3.0
1950.0,leste,70,2.0
1950.0,leste,70,2.0
1200.0,leste,32,1.0
3300.0,leste,87,3.0
5000.0,leste,107,3.0
3500.0,leste,94,3.0
5000.0,leste,107,3.0
12800.0,leste,600,
3700.0,leste,141,3.0
1200.0,leste,45,2.0
4122.0,leste,140,4.0
1600.0,leste,52,2.0
3500.0,leste,70,3.0
2075.0,leste,46,2.0
2700.0,leste,67,2.0
4000.0,leste,60,2.0
2200.0,leste,40,1.0
15000.0,leste,750,
45000.0,leste,730,
10000.0,leste,810,
13000.0,leste,466,
12800.0,leste,245,
8000.0,leste,600,
12000.0,leste,"1,016",
3700.0,leste,114,4.0
7500.0,leste,508,4.0
6800.0,leste,592,
12000.0,leste,600,
20000.0,leste,"1,400",
2500.0,leste,69,3.0
1850.0,leste,90,2.0
4500.0,leste,133,3.0
15000.0,leste,740,
25000.0,leste,774,
8000.0,leste,260,4.0
25000.0,leste,425,4.0
7500.0,leste,290,
2500.0,leste,75,3.0
1890.0,leste,74,3.0
4000.0,leste,105,3.0
4100.0,leste,220,4.0
3800.0,leste,55,1.0
20000.0,leste,450,
2000.0,leste,78,3.0
5000.0,leste,181,3.0
11000.0,leste,636,
1900.0,leste,94,3.0
9000.0,leste,700,
7000.0,leste,"1,834",
1800.0,leste,60,2.0
2400.0,leste,75,2.0
110000.0,leste,"3,537",
1900.0,leste,30,1.0
1650.0,leste,33,1.0
1650.0,leste,30,1.0
17000.0,leste,910,
2500.0,leste,90,2.0
1200.0,leste,42,1.0
1600.0,leste,50,2.0
7000.0,leste,670,
5200.0,leste,140,4.0
1650.0,leste,33,1.0
2600.0,leste,59,2.0
28000.0,leste,850,
1350.0,leste,45,1.0
1600.0,leste,68,2.0
12000.0,leste,150,
1500.0,leste,65,2.0
2100.0,leste,48,2.0
1650.0,leste,30,1.0
2100.0,leste,70,2.0
30000.0,leste,844,
1900.0,leste,95,3.0
3200.0,leste,55,1.0
1900.0,leste,56,2.0
1300.0,leste,27,1.0
1300.0,leste,58,1.0
2500.0,leste,85,2.0
1930.0,oeste,55,2.0
1200.0,oeste,62,3.0
3800.0,oeste,127,2.0
1400.0,oeste,50,2.0
950.0,oeste,40,2.0
6500.0,oeste,181,3.0
1400.0,oeste,60,2.0
2600.0,oeste,95,3.0
1700.0,oeste,70,1.0
1350.0,oeste,60,2.0
3276.0,oeste,35,1.0
3720.0,oeste,31,1.0
5190.0,oeste,90,3.0
1250.0,oeste,60,2.0
3197.0,oeste,64,2.0
1300.0,oeste,60,2.0
4400.0,oeste,100,2.0
1600.0,oeste,60,2.0
2600.0,oeste,130,3.0
1450.0,oeste,50,2.0
3450.0,oeste,65,2.0
2600.0,oeste,50,2.0
3170.0,oeste,70,2.0
3050.0,oeste,70,3.0
1900.0,oeste,44,1.0
2100.0,oeste,28,1.0
2320.0,oeste,42,1.0
3700.0,oeste,45,1.0
2100.0,oeste,45,1.0
5500.0,oeste,88,1.0
3400.0,oeste,20,1.0
5400.0,oeste,156,4.0
4500.0,oeste,65,2.0
4300.0,oeste,42,1.0
4800.0,oeste,45,1.0
3800.0,oeste,90,3.0
3700.0,oeste,50,1.0
2200.0,oeste,60,2.0
2900.0,oeste,61,2.0
4400.0,oeste,50,1.0
3800.0,oeste,50,1.0
1700.0,oeste,55,1.0
2400.0,oeste,86,3.0
1300.0,oeste,69,2.0
1500.0,oeste,60,2.0
1300.0,oeste,68,3.0
1300.0,oeste,67,2.0
1400.0,oeste,78,3.0
2500.0,oeste,57,3.0
3900.0,oeste,80,3.0
3100.0,oeste,61,2.0
1000.0,oeste,40,
1700.0,oeste,40,1.0
2800.0,oeste,115,4.0
2100.0,oeste,40,1.0
1700.0,oeste,55,1.0
2700.0,oeste,65,2.0
1700.0,oeste,45,1.0
3000.0,oeste,49,2.0
3500.0,oeste,60,2.0
2700.0,oeste,60,2.0
1450.0,oeste,57,2.0
2200.0,oeste,100,2.0
2800.0,oeste,70,3.0
4500.0,oeste,75,3.0
1900.0,oeste,37,1.0
4850.0,oeste,113,3.0
2700.0,oeste,90,2.0
2600.0,oeste,68,2.0
2500.0,oeste,70,2.0
2000.0,oeste,57,2.0
4300.0,oeste,125,3.0
3500.0,oeste,83,1.0
2800.0,oeste,55,1.0
2300.0,oeste,70,3.0
1900.0,oeste,60,2.0
3200.0,oeste,30,1.0
2300.0,oeste,60,2.0
2199.0,oeste,65,2.0
1500.0,oeste,62,3.0
1700.0,oeste,56,2.0
1550.0,oeste,54,2.0
1000.0,oeste,46,2.0
2400.0,oeste,58,2.0
1500.0,oeste,68,2.0
4100.0,oeste,87,3.0
3600.0,oeste,117,4.0
3000.0,oeste,30,1.0
1850.0,oeste,42,2.0
4500.0,oeste,75,3.0
3600.0,oeste,124,3.0
4500.0,oeste,75,3.0
5500.0,oeste,103,3.0
1800.0,oeste,53,2.0
22000.0,oeste,282,4.0
4350.0,oeste,92,3.0
2500.0,oeste,72,2.0
1400.0,oeste,50,2.0
23000.0,oeste,400,5.0
13000.0,oeste,337,4.0
7000.0,oeste,180,3.0
20000.0,oeste,290,4.0
7000.0,oeste,203,2.0
20000.0,oeste,320,5.0
8770.0,oeste,98,2.0
7000.0,oeste,160,3.0
17000.0,oeste,182,3.0
8000.0,oeste,140,3.0
10000.0,oeste,190,3.0
9500.0,oeste,184,4.0
8000.0,oeste,177,4.0
2000.0,oeste,72,3.0
3200.0,oeste,35,1.0
4500.0,oeste,75,3.0
4500.0,oeste,75,3.0
8500.0,oeste,156,3.0
4500.0,oeste,"75,100",100.0
1900.0,oeste,65,3.0
3000.0,oeste,71,3.0
4490.0,oeste,64,2.0
6290.0,oeste,86,3.0
6290.0,oeste,86,3.0
2550.0,oeste,67,2.0
2400.0,oeste,51,2.0
2600.0,oeste,58,2.0
2550.0,oeste,60,2.0
3250.0,oeste,90,3.0
5200.0,oeste,159,3.0
3100.0,oeste,61,2.0
3100.0,oeste,61,2.0
51000.0,oeste,475,4.0
5500.0,oeste,172,3.0
6800.0,oeste,70,2.0
